subdistrict_code,subdistrict_name,district_code
83,Pangi,23
84,Chaurah,23
85,Saluni,23
86,Bhalai,23
87,Dalhousie,23
88,Bhattiyat,23
89,Sihunta,23
90,Chamba,23
91,Holi,23
92,Brahmaur,23
93,Nurpur,24
94,Indora,24
95,Fatehpur,24
96,Jawali,24
97,Harchakian,24
98,Shahpur,24
99,Dharmsala,24
100,Kangra,24
101,Nagrota Bagwan,24
102,Baroh,24
103,Dera Gopipur,24
104,Jawalamukhi,24
105,Jaswan,24
106,Rakkar,24
107,Khundian,24
108,Thural,24
109,Dhira,24
110,Jaisinghpur,24
111,Palampur,24
112,Baijnath,24
113,Multhan,24
114,Udaipur,25
115,Lahul,25
116,Spiti,25
117,Manali,26
118,Kullu,26
119,Sainj,26
120,Banjar,26
121,Ani,26
122,Nermand,26
123,Padhar,27
124,Jogindarnagar,27
125,Lad Bharol,27
126,Sandhol,27
127,Dharmpur,27
128,Kotli,27
129,Sarkaghat,27
130,Bhadrota,27
131,Baldwara,27
132,Sundarnagar,27
133,Mandi,27
134,Aut,27
135,Bali Chowki,27
136,Thunag,27
137,Chachyot,27
138,Nihri,27
139,Karsog,27
140,Tira Sujanpur,28
141,Nadaun,28
142,Galore,28
143,Hamirpur,28
144,Barsar,28
145,Dhatwal,28
146,Bhoranj,28
147,Bharwain,29
148,Amb,29
149,Bangana,29
150,Una,29
151,Haroli,29
152,Ghumarwin,30
153,Bharari,30
154,Jhanduta,30
155,Naina Devi,30
156,Bilaspur Sadar,30
157,Namhol,30
158,Arki,31
159,Darlaghat,31
160,Ramshahr,31
161,Nalagarh,31
162,Baddi,31
163,Krishangarh,31
164,Kasauli,31
165,Solan,31
166,Kandaghat,31
167,Rajgarh,32
168,Nohra,32
169,Pachhad,32
170,Renuka,32
171,Dadahu,32
172,Nahan,32
173,Paonta Sahib,32
174,Kamrau,32
175,Shalai,32
176,Ronhat,32
177,Rampur,33
178,Nankhari,33
179,Kumharsain,33
180,Seoni,33
181,Shimla   ( Rural ),33
183,Junga,33
184,Theog,33
185,Chaupal,33
186,Cheta,33
187,Nerua,33
188,Jubbal,33
189,Kotkhai,33
190,Tikar,33
191,Rohru,33
192,Chirgaon,33
193,Dodra Kwar,33
194,Hangrang,34
195,Poo,34
196,Morang,34
197,Kalpa,34
198,Nichar,34
199,Sangla,34
200,Dhar Kalan,35
201,Pathankot,35
202,Gurdaspur,35
203,Batala,35
204,Dera Baba Nanak,35
205,Bhulath,36
206,Kapurthala,36
207,Sultanpur Lodhi,36
208,Phagwara,36
209,Shahkot,37
210,Nakodar,37
211,Phillaur,37
212,Jalandhar - I,37
213,Jalandhar - II,37
214,Dasua,38
215,Mukerian,38
216,Hoshiarpur,38
217,Garhshankar,38
218,Nawanshahr,39
219,Balachaur,39
220,Bassi Pathana,40
221,Fatehgarh Sahib,40
222,Amloh,40
223,Khamanon,40
224,Samrala,41
225,Khanna,41
226,Payal,41
227,Ludhiana (East),41
228,Ludhiana (West),41
229,Raikot,41
230,Jagraon,41
231,Nihal Singhwala,42
232,Bagha Purana,42
233,Moga,42
234,Zira,43
235,Firozpur,43
236,Jalalabad,43
237,Fazilka,43
238,Abohar,43
239,Malout,44
240,Gidderbaha,44
241,Muktsar,44
242,Faridkot,45
243,Jaitu,45
244,Rampura Phul,46
